sex,f,a0,a1,a2,a3,a4,a5,a6,p0,p1,p2,p3,p4,p5,q0,q1,agebound,l0,l1,m0,m1,s0,s1
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,12.25,0,0,-0.0101,-0.0019,-0.0339,-0.029
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,12.5,0,0,-0.0019,0.0071,-0.029,-0.0243
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,12.75,0,0,0.0071,0.0169,-0.0243,-0.0199
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,13,0,0,0.0169,0.0274,-0.0199,-0.0162
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,13.25,0,0,0.0274,0.0384,-0.0162,-0.013
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,13.5,0,0,0.0384,0.0497,-0.013,-0.0107
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,13.75,0,0,0.0497,0.0612,-0.0107,-0.0091
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,14,0,0,0.0612,0.0728,-0.0091,-0.0083
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,14.25,0,0,0.0728,0.0844,-0.0083,-0.0084
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,14.5,0,0,0.0844,0.0958,-0.0084,-0.0092
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,14.75,0,0,0.0958,0.1068,-0.0092,-0.0108
